x,a=R/2,a=R,a=2R
-0.2,-5.1009100795048325e-05,-0.00010782524847505847,-0.00026955013649814343
-0.19,-6.089611802617893e-05,-0.00012922053100992065,-0.00032775489482751117
-0.18,-7.318051237245202e-05,-0.00015592111324816234,-0.00040137854071392977
-0.17,-8.854904055674173e-05,-0.00018946866583643634,-0.0004949097745986253
-0.16,-0.00010790730880762035,-0.0002318908699478627,-0.0006139736477694756
-0.15,-0.0001324502568206484,-0.00028584366161557193,-0.0007652858057460378
-0.14,-0.00016374975005132994,-0.00035476852930341684,-0.0009561339235550224
-0.13,-0.00020385486217387556,-0.0004430279295999176,-0.001192863359603029
-0.12,-0.00025538654665093103,-0.0005559248657593039,-0.0014775973000047094
-0.11,-0.00032157699753522804,-0.0006994003840444219,-0.001802517263084586
-0.1,-0.0004061389852105041,-0.0008790088979122098,-0.0021423252117251743
-0.09,-0.000512728697922782,-0.0010975101263584947,-0.0024489499034990713
-0.08,-0.0006435712486163748,-0.001350272277251981,-0.0026567392525653796
-0.07,-0.0007966032034198478,-0.0016182483649576675,-0.002704355124273025
-0.06,-0.0009605331274011744,-0.0018606221936211197,-0.0025648527428268606
-0.05,-0.0011082818573996311,-0.0020135712827241787,-0.0022602599854407114
-0.04,-0.0011923946726857624,-0.0020039677162572386,-0.0018466646567114875
-0.03,-0.0011506386444237152,-0.0017787193111610023,-0.001383822392684029
-0.02,-0.0009301259739820568,-0.0013326289105269032,-0.0009130229349829465
-0.01,-0.0005248463969208632,-0.0007128235314363894,-0.00045186427726257993
0.0,0.0,0.0,0.0
0.0099999999999999,0.0005248463969208588,0.0007128235314363832,0.0004518642772625755
0.0199999999999999,0.0009301259739820528,0.0013326289105268976,0.0009130229349829416
0.03,0.0011506386444237152,0.0017787193111610023,0.001383822392684029
0.0399999999999999,0.0011923946726857637,0.0020039677162572373,0.001846664656711483
0.0499999999999999,0.0011082818573996329,0.0020135712827241805,0.002260259985440708
0.06,0.0009605331274011744,0.0018606221936211197,0.0025648527428268606
0.07,0.0007966032034198478,0.0016182483649576675,0.002704355124273025
0.08,0.0006435712486163748,0.001350272277251981,0.0026567392525653796
0.0899999999999999,0.0005127286979227831,0.0010975101263584971,0.002448949903499073
0.0999999999999999,0.00040613898521050514,0.0008790088979122121,0.002142325211725178
0.1099999999999999,0.0003215769975352287,0.0006994003840444237,0.0018025172630845893
0.12,0.00025538654665093103,0.0005559248657593039,0.0014775973000047094
0.13,0.00020385486217387556,0.0004430279295999176,0.001192863359603029
0.14,0.00016374975005132994,0.00035476852930341684,0.0009561339235550224
0.15,0.0001324502568206484,0.00028584366161557193,0.0007652858057460378
0.1599999999999999,0.00010790730880762054,0.00023189086994786318,0.0006139736477694772
0.1699999999999999,8.854904055674193e-05,0.00018946866583643667,0.0004949097745986264
0.18,7.318051237245202e-05,0.00015592111324816234,0.00040137854071392977
0.19,6.089611802617893e-05,0.00012922053100992065,0.00032775489482751117
0.2,5.1009100795048325e-05,0.00010782524847505847,0.00026955013649814343
