z,B
-0.1,0.0001637027509803865
-0.09292929292929293,0.0001791179747339044
-0.08585858585858587,0.00019627259673750787
-0.0787878787878788,0.00021534274424496325
-0.07171717171717172,0.00023650318314809827
-0.06464646464646465,0.0002599177062164315
-0.057575757575757586,0.00028572614061682334
-0.05050505050505051,0.00031402792503169554
-0.04343434343434344,0.0003448628582539556
-0.036363636363636376,0.0003781905723898546
-0.0292929292929293,0.0004138714249901194
-0.022222222222222227,0.0004516525433111007
-0.015151515151515166,0.0004911632203713704
-0.008080808080808091,0.0005319232430006991
-0.0010101010101010166,0.00057336574599389
0.006060606060606044,0.0006148730899478202
0.013131313131313119,0.0006558209462023301
0.020202020202020193,0.0006956234752759004
0.027272727272727254,0.0007337721679656619
0.03434343434343434,0.0007698627193418725
0.0414141414141414,0.0008036074563308662
0.048484848484848464,0.0008348341135170751
0.05555555555555555,0.0008634741101769331
0.06262626262626261,0.0008895444813093654
0.06969696969696967,0.0009131274108288573
0.07676767676767676,0.0009343503859622486
0.08383838383838382,0.0009533688412970781
0.09090909090909088,0.0009703521369956307
0.09797979797979797,0.0009854729757396638
0.10505050505050503,0.000998899921698967
0.1121212121212121,0.0010107924830695136
0.11919191919191918,0.001021298178117743
0.12626262626262624,0.001030551053062479
0.1333333333333333,0.0010386712080509598
0.1404040404040404,0.0010457649837813123
0.14747474747474745,0.0010519255495756944
0.1545454545454545,0.001057233707140795
0.16161616161616157,0.0010617587816193984
0.1686868686868687,0.0010655595143205239
0.17575757575757575,0.0010686849022370469
0.1828282828282828,0.0010711749507702538
0.18989898989898987,0.001073061320344213
0.19696969696969693,0.0010743678567428502
0.204040404040404,0.0010751110005412482
0.2111111111111111,0.0010753000740602477
0.21818181818181817,0.0010749374456877087
0.22525252525252523,0.0010740185718051346
0.2323232323232323,0.0010725319164175075
0.23939393939393935,0.0010704587483118507
0.24646464646464641,0.001067772815551613
0.2535353535353535,0.0010644398977721764
0.2606060606060606,0.0010604172385976843
0.2676767676767676,0.0010556528642342508
0.27474747474747474,0.001050084800830414
0.28181818181818175,0.0010436402137713936
0.28888888888888886,0.0010362345083223898
0.295959595959596,0.0010277704550314237
0.303030303030303,0.0010181374375233157
0.3101010101010101,0.001007210967436999
0.3171717171717171,0.0009948526736010543
0.3242424242424242,0.0009809110509601717
0.3313131313131312,0.0009652233466365273
0.33838383838383834,0.0009476190565336684
0.34545454545454546,0.0009279255855885884
0.35252525252525246,0.0009059766513121414
0.3595959595959596,0.0008816239266615707
0.3666666666666666,0.0008547521496647167
0.3737373737373737,0.0008252973962467643
0.3808080808080808,0.0007932673765819014
0.3878787878787878,0.0007587615260759868
0.39494949494949494,0.0007219875344142535
0.40202020202020206,0.0006832701965810433
0.40909090909090906,0.0006430486006782923
0.4161616161616162,0.0006018591017852899
0.4232323232323232,0.0005603042568149403
0.4303030303030303,0.0005190112629511467
0.4373737373737374,0.0004785862921544832
0.4444444444444444,0.0004395722943770501
0.45151515151515154,0.00040241684168986007
0.45858585858585854,0.0003674538386885541
0.46565656565656566,0.00033489955150222756
0.47272727272727266,0.00030486059219222343
0.4797979797979798,0.00027734994143773693
0.4868686868686869,0.00025230686205843987
0.4939393939393939,0.0002296172599395694
0.501010101010101,0.00020913216347183807
0.508080808080808,0.00019068309619826686
0.5151515151515151,0.0001740939790180914
0.5222222222222223,0.00015918975453581787
0.5292929292929293,0.00014580221429297778
0.5363636363636364,0.00013377360583599566
0.5434343434343434,0.00012295857681813422
0.5505050505050505,0.00011322493632573389
0.5575757575757575,0.00010445361781693106
0.5646464646464646,9.653813513802951e-05
0.5717171717171717,8.938374310084942e-05
0.5787878787878787,8.290645010897555e-05
0.5858585858585859,7.703198165864641e-05
0.5929292929292929,7.169475795598298e-05
0.6,6.683692371166584e-05
